,order_id,order_date,delivery_date,customer_name,gender,age,city,state,product_id,price_per_unit,quantity,total_price,product_type,product_name,size,colour,stock,delivery_duration
0,1,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,218,106,2,212,Shirt,Chambray,L,orange,44,25
1,1,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,481,118,1,118,Jacket,Puffer,S,indigo,62,25
2,1,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,2,96,3,288,Shirt,Oxford Cloth,M,red,54,25
3,1,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,1002,106,2,212,Trousers,Wool,M,blue,52,25
4,1,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,691,113,3,339,Jacket,Parka,S,indigo,53,25
5,1,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,981,106,3,318,Trousers,Wool,S,red,65,25
6,2,2021-02-03,2021-02-13,Lori Briars,Male,61,Annaton,South Australia,915,96,1,96,Trousers,Drawstring,XS,orange,41,10
7,2,2021-02-03,2021-02-13,Lori Briars,Male,61,Annaton,South Australia,686,113,1,113,Jacket,Parka,S,blue,72,10
8,2,2021-02-03,2021-02-13,Lori Briars,Male,61,Annaton,South Australia,1091,115,3,345,Trousers,Cropped,S,orange,78,10
9,2,2021-02-03,2021-02-13,Lori Briars,Male,61,Annaton,South Australia,1196,105,1,105,Trousers,Pleated,S,orange,72,10
10,2,2021-02-03,2021-02-13,Lori Briars,Male,61,Annaton,South Australia,157,91,3,273,Shirt,Linen,M,green,42,10
11,2,2021-02-03,2021-02-13,Lori Briars,Male,61,Annaton,South Australia,1174,99,2,198,Trousers,High-Waisted,XL,green,78,10
12,3,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,West Jonathanshire,Tasmania,54,104,1,104,Shirt,Dress,XL,green,52,26
13,3,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,West Jonathanshire,Tasmania,6,96,2,192,Shirt,Oxford Cloth,S,orange,72,26
14,3,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,West Jonathanshire,Tasmania,1010,106,2,212,Trousers,Wool,XS,violet,80,26
15,4,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,West Michaelport,Tasmania,1033,90,1,90,Trousers,Relaxed Leg,L,green,62,13
16,4,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,West Michaelport,Tasmania,1184,99,3,297,Trousers,High-Waisted,XL,indigo,57,13
17,4,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,West Michaelport,Tasmania,769,109,1,109,Jacket,Peacoat,XL,violet,42,13
18,4,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,West Michaelport,Tasmania,923,96,3,288,Trousers,Drawstring,L,yellow,68,13
19,4,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,West Michaelport,Tasmania,12,96,2,192,Shirt,Oxford Cloth,M,yellow,56,13
20,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,148,91,2,182,Shirt,Linen,L,orange,73,1
21,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,475,118,2,236,Jacket,Puffer,XS,blue,57,1
22,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,1,96,3,288,Shirt,Oxford Cloth,S,red,53,1
23,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,830,117,3,351,Jacket,Shearling,XS,indigo,68,1
24,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,1209,105,3,315,Trousers,Pleated,XL,green,55,1
25,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,635,93,3,279,Jacket,Coach,XS,orange,42,1
26,5,2021-03-23,2021-03-24,Artemas Vasilischev,Bigender,53,South Rileyview,Western Australia,639,93,3,279,Jacket,Coach,XL,orange,46,1
